Clasificacion,Sexo,Edad,Cantidad,P. Maximo,P. Minimo,P. Promedio,Peso Promedio,P. Animal,Fecha,Ciudad
OTRO,ML,1.3333333333333333,1.0,7300.0,7300.0,7300.0,231.0,1686300.0,2023-10-19,MONTERIA
PRIMERA,ML,,7.0,7900.0,7900.0,7900.0,117.0,924300.0,2023-10-19,MONTERIA
PRIMERA,ML,1.0,37.0,7200.0,7000.0,7100.0,143.0,1015300.0,2023-10-19,MONTERIA
PRIMERA,ML,1.25,31.0,8100.0,7000.0,7550.0,179.0,1351450.0,2023-10-19,MONTERIA
PRIMERA,ML,2.0,23.0,6800.0,6800.0,6800.0,250.0,1700000.0,2023-10-19,MONTERIA
PRIMERA,MC,3.0,17.0,7350.0,6900.0,7166.0,418.0,2995666.0,2023-10-19,MONTERIA
PRIMERA,TO,3.0,1.0,7100.0,7100.0,7100.0,750.0,5325000.0,2023-10-19,MONTERIA
PRIMERA,HL,,40.0,7000.0,6100.0,6480.0,105.0,682992.0,2023-10-19,MONTERIA
PRIMERA,HL,1.5,12.0,6100.0,6050.0,6075.0,214.0,1300050.0,2023-10-19,MONTERIA
PRIMERA,HL,1.3333333333333333,22.0,6700.0,6700.0,6700.0,231.0,1547700.0,2023-10-19,MONTERIA
PRIMERA,HL,1.25,30.0,6400.0,6100.0,6250.0,162.0,1012500.0,2023-10-19,MONTERIA
PRIMERA,HV,2.0,84.0,6500.0,5800.0,6200.0,266.0,1649200.0,2023-10-19,MONTERIA
PRIMERA,HV,2.5,46.0,6700.0,6300.0,6450.0,331.0,2137530.0,2023-10-19,MONTERIA
PRIMERA,HV,2.25,61.0,6850.0,5700.0,6406.0,304.0,1949902.0,2023-10-19,MONTERIA
PRIMERA,HV,3.0,4.0,6650.0,6350.0,6516.0,423.0,2760894.0,2023-10-19,MONTERIA
PRIMERA,VE,2.5,3.0,6100.0,6100.0,6100.0,358.0,2183800.0,2023-10-19,MONTERIA
PRIMERA,VE,2.25,29.0,6300.0,6100.0,6175.0,386.0,2385093.0,2023-10-19,MONTERIA
PRIMERA,VE,3.0,84.0,6650.0,5900.0,6280.0,466.0,2928992.0,2023-10-19,MONTERIA
